url,year,title,author,date,file_path
https://www.federalreserve.gov/newsevents/speech/files/bowman20240515a.pdf,2024,Innovation and the Evolving Financial Landscape,Governor Michelle W. Bowman,2024-05-15,2024\Innovation and the Evolving Financial Landscape_2024.pdf
https://www.federalreserve.gov/newsevents/speech/files/waller20240517a.pdf,2024,"Payments Innovation, Technical Standards, and the Federal Reserve's Roles",Governor Christopher J. Waller,2024-05-17,"2024\Payments Innovation, Technical Standards, and the _2024.pdf"
https://www.federalreserve.gov/newsevents/speech/files/kugler20240518a.pdf,2024,"On the Road Ahead, Cherish the Detours",Governor Adriana D. Kugler,2024-05-18,"2024\On the Road Ahead, Cherish the Detours_2024.pdf"
https://www.federalreserve.gov/newsevents/speech/files/powell20240519a.pdf,2024,Georgetown University Law Center Commencement Address,Chair Jerome H. Powell,2024-05-19,2024\Georgetown University Law Center Commencement Addr_2024.pdf
https://www.federalreserve.gov/newsevents/speech/files/jefferson20240520a.pdf,2024,U.S. Economic Outlook and Housing Price Dynamics,Vice Chair Philip N. Jefferson,2024-05-20,2024\U.S. Economic Outlook and Housing Price Dynamics_2024.pdf
https://www.federalreserve.gov/newsevents/speech/files/waller20240520a.pdf,2024,Welcoming Remarks on the International Role of the U.S. Dollar,Governor Christopher J. Waller,2024-05-20,2024\Welcoming Remarks on the International Role of the_2024.pdf
https://www.federalreserve.gov/newsevents/speech/files/barr20240520a.pdf,2024,On Building a Resilient Regulatory Framework,Vice Chair for Supervision Michael S. Barr,2024-05-20,2024\On Building a Resilient Regulatory Framework_2024.pdf
https://www.federalreserve.gov/newsevents/speech/files/waller20240521a.pdf,2024,"Little by Little, Progress Seems to be Resuming.",Governor Christopher J. Waller,2024-05-21,"2024\Little by Little, Progress Seems to be Resuming._2024.pdf"
https://www.federalreserve.gov/newsevents/speech/files/waller20240524a.pdf,2024,Some Thoughts on r*:  Why Did It Fall and Will It Rise?,Governor Christopher J. Waller,2024-05-24,2024\Some Thoughts on r  Why Did It Fall and Will It Ri_2024.pdf
https://www.federalreserve.gov/newsevents/speech/files/bowman20240528a.pdf,2024,The Federal Reserve's Balance Sheet as a Monetary Policy Tool:  Past Lessons and Future Considerations,Governor Michelle W. Bowman,2024-05-28,2024\The Federal Reserve's Balance Sheet as a Monetary _2024.pdf
https://www.federalreserve.gov/newsevents/speech/files/cook20240607a.pdf,2024,A New Class of Trailblazers,Governor Lisa D. Cook,2024-06-07,2024\A New Class of Trailblazers_2024.pdf
https://www.federalreserve.gov/newsevents/speech/files/cook20240614a.pdf,2024,Lessons from the American Economic Association Summer Program,Governor Lisa D. Cook,2024-06-14,2024\Lessons from the American Economic Association Sum_2024.pdf
https://www.federalreserve.gov/newsevents/speech/files/cook20240617a.pdf,2024,A Transformative Experience,Governor Lisa D. Cook,2024-06-17,2024\A Transformative Experience_2024.pdf
https://www.federalreserve.gov/newsevents/speech/files/bowman20240617a.pdf,2024,Innovation in the Financial System,Governor Michelle W. Bowman,2024-06-17,2024\Innovation in the Financial System_2024.pdf
https://www.federalreserve.gov/newsevents/speech/files/kugler20240618a.pdf,2024,Some Reasons for Optimism about Inflation,Governor Adriana D. Kugler,2024-06-18,2024\Some Reasons for Optimism about Inflation_2024.pdf
https://www.federalreserve.gov/newsevents/speech/files/cook20240625a.pdf,2024,Moving Toward Better Balance and Implications for Monetary Policy,Governor Lisa D. Cook,2024-06-25,2024\Moving Toward Better Balance and Implications for _2024.pdf
https://www.federalreserve.gov/newsevents/speech/files/bowman20240625a.pdf,2024,Perspectives on U.S. Monetary Policy and Bank Capital Reform,Governor Michelle W. Bowman,2024-06-25,2024\Perspectives on U.S. Monetary Policy and Bank Capi_2024.pdf
https://www.federalreserve.gov/newsevents/speech/files/bowman20240626a.pdf,2024,The Consequences of Bank Capital Reform,Governor Michelle W. Bowman,2024-06-26,2024\The Consequences of Bank Capital Reform_2024.pdf
https://www.federalreserve.gov/newsevents/speech/files/bowman20240627a.pdf,2024,"Brief Remarks on the Economy, Monetary Policy, and Bank Regulation",Governor Michelle W. Bowman,2024-06-27,"2024\Brief Remarks on the Economy, Monetary Policy, and_2024.pdf"
https://www.federalreserve.gov/newsevents/speech/files/bowman20240709a.pdf,2024,Promoting an Inclusive Financial System,Governor Michelle W. Bowman,2024-07-09,2024\Promoting an Inclusive Financial System_2024.pdf
https://www.federalreserve.gov/newsevents/speech/files/barr20240709a.pdf,2024,"Financial Inclusion: Past, Present, and Hopes for the Future",Vice Chair for Supervision Michael S. Barr,2024-07-09,"2024\Financial Inclusion Past, Present, and Hopes for t_2024.pdf"
https://www.federalreserve.gov/newsevents/speech/files/cook20240710a.pdf,2024,Common Inflation and Monetary Policy Challenges across Countries,Governor Lisa D. Cook,2024-07-10,2024\Common Inflation and Monetary Policy Challenges ac_2024.pdf
https://www.federalreserve.gov/newsevents/speech/files/kugler20240716a.pdf,2024,The Challenges Facing Economic Measurement and Creative Solutions,Governor Adriana D. Kugler,2024-07-16,2024\The Challenges Facing Economic Measurement and Cre_2024.pdf
https://www.federalreserve.gov/newsevents/speech/files/waller20240717a.pdf,2024,Getting Closer,Governor Christopher J. Waller,2024-07-17,2024\Getting Closer_2024.pdf
https://www.federalreserve.gov/newsevents/speech/files/bowman20240718a.pdf,2024,"Liquidity, Supervision, and Regulatory Reform",Governor Michelle W. Bowman,2024-07-18,"2024\Liquidity, Supervision, and Regulatory Reform_2024.pdf"
https://www.federalreserve.gov/newsevents/speech/files/bowman20240810a.pdf,2024,"Update on the Economic Outlook, and Perspective on Bank Culture, M&A, and Liquidity",Governor Michelle W. Bowman,2024-08-10,"2024\Update on the Economic Outlook, and Perspective on_2024.pdf"
